,Catalyst Name,Doesitbind,Doesitbind_pred,Doesitbind_predproba,Atom Number
2487,sf252x0,1,1,1.0,12
3319,sf45x0,1,1,1.0,1
2217,sf238x0,1,1,1.0,13
3697,sf64x0,1,1,1.0,12
967,sf158x0,1,1,1.0,11
3644,sf61x0,1,1,1.0,14
3903,sf80x0,1,1,1.0,8
1812,sf208x0,1,1,1.0,1
2316,sf243x0,1,1,0.999,11
704,sf146x0,1,1,0.999,13
2489,sf252x0,1,1,0.999,14
3646,sf61x0,1,1,0.999,16
1909,sf215x0,1,1,0.999,1
3781,sf69x0,1,1,0.999,11
3541,sf56x0,1,1,0.999,18
1814,sf208x0,1,1,0.999,3
3629,sf60x0,1,1,0.999,16
1922,sf216x0,1,1,0.999,1
3953,sf83x0,1,1,0.999,14
2458,sf250x0,1,1,0.999,13
3642,sf61x0,1,1,0.999,12
1353,sf180x0,1,1,0.999,9
3478,sf53x0,1,1,0.998,18
1704,sf1x0,1,1,0.998,13
1924,sf216x0,1,1,0.998,3
1757,sf204x0,1,1,0.998,1
3316,sf44x0,1,1,0.998,11
3502,sf54x0,1,1,0.998,20
1807,sf207x0,1,1,0.998,3
3627,sf60x0,1,1,0.998,14
860,sf152x0,1,1,0.998,8
3303,sf43x0,1,1,0.998,11
1199,sf171x0,1,1,0.997,12
3901,sf80x0,1,1,0.997,6
1805,sf207x0,1,1,0.997,1
3500,sf54x0,1,1,0.997,18
3437,sf51x0,1,1,0.997,22
2397,sf247x0,1,1,0.997,12
4022,sf92x0,1,1,0.997,9
3321,sf45x0,1,1,0.997,3
279,sf123x0,1,1,0.997,5
1303,sf178x0,1,1,0.996,12
2219,sf238x0,1,1,0.996,15
189,sf114x0,1,1,0.996,7
3559,sf57x0,1,1,0.996,18
3351,sf47x0,1,1,0.996,9
3130,sf2x0,1,1,0.996,8
3561,sf57x0,1,1,0.996,20
3347,sf47x0,1,1,0.996,5
2314,sf243x0,1,1,0.996,9
1206,sf172x0,1,1,0.996,4
547,sf138x0,1,1,0.996,17
3862,sf76x0,1,1,0.996,6
661,sf143x0,1,1,0.996,6
87,sf106x0,1,1,0.995,3
2431,sf249x0,1,1,0.995,13
1073,sf163x0,1,1,0.995,9
3764,sf68x0,1,1,0.995,8
1241,sf174x0,1,1,0.995,7
1197,sf171x0,1,1,0.995,10
1100,sf165x0,1,1,0.995,3
2335,sf244x0,1,1,0.995,18
3504,sf54x0,1,1,0.995,22
1702,sf1x0,1,1,0.994,11
1840,sf20x1,1,1,0.994,12
2140,sf231x0,1,1,0.994,5
2501,sf253x0,1,1,0.994,13
702,sf146x0,1,1,0.994,11
706,sf146x0,1,1,0.994,15
2197,sf237x0,1,1,0.994,1
3850,sf75x0,1,1,0.994,6
3349,sf47x0,1,1,0.994,7
2530,sf256x0,1,1,0.994,11
3658,sf62x0,1,1,0.994,14
1581,sf195x0,1,1,0.993,1
634,sf141x0,1,1,0.993,10
277,sf123x0,1,1,0.993,3
281,sf123x0,1,1,0.993,7
3456,sf52x0,1,1,0.993,18
1558,sf192x0,1,1,0.993,13
1255,sf175x0,1,1,0.993,6
3539,sf56x0,1,1,0.993,16
3259,sf3x0,1,1,0.993,12
2585,sf259x0,1,1,0.993,11
1985,sf21x2,1,1,0.992,12
1275,sf176x0,1,1,0.992,13
3873,sf77x0,1,1,0.992,6
3543,sf56x0,1,1,0.992,20
3557,sf57x0,0,1,0.992,16
2757,sf267x0,1,1,0.992,21
3848,sf75x0,1,1,0.991,4
3779,sf69x0,1,1,0.991,9
850,sf151x0,1,1,0.991,17
1091,sf164x0,1,1,0.991,9
2236,sf239x0,1,1,0.991,18
3523,sf55x0,1,1,0.99,20
2333,sf244x0,1,1,0.99,16
2929,sf275x0,1,1,0.99,1
1706,sf200x0,1,1,0.99,1
2088,sf228x0,0,1,0.99,5
3582,sf58x0,1,1,0.99,22
2951,sf276x0,1,1,0.99,2
1690,sf19x1,1,1,0.99,12
3103,sf28x1,1,1,0.99,13
1419,sf184x0,1,1,0.99,12
3482,sf53x0,1,1,0.99,22
869,sf153x0,1,1,0.99,3
1362,sf181x0,1,1,0.99,4
2215,sf238x0,1,1,0.99,11
3414,sf50x0,1,1,0.989,33
1283,sf177x0,1,1,0.989,6
1544,sf191x0,1,1,0.989,14
3631,sf60x0,1,1,0.989,18
3364,sf49x0,1,1,0.989,7
2399,sf247x0,1,1,0.989,14
3783,sf69x0,1,1,0.989,13
1019,sf160x0,1,1,0.989,5
3132,sf2x0,1,1,0.988,10
3871,sf77x0,1,1,0.988,4
2182,sf235x0,1,1,0.988,5
2337,sf244x0,1,1,0.988,20
1898,sf214x0,1,1,0.988,3
2318,sf243x0,1,1,0.988,13
2456,sf250x0,1,1,0.988,11
1431,sf185x0,1,1,0.988,12
1974,sf21x1,1,1,0.988,12
3699,sf64x0,1,1,0.988,14
3875,sf77x0,1,1,0.987,8
1963,sf219x0,1,1,0.987,8
610,sf140x0,1,1,0.987,8
560,sf139x0,1,1,0.987,12
