,Unnamed: 0,Atom Number,Catalyst Name,CatalystO2File,Element,SpinDensity,ChElPGPositiveCharge,ChElPGNeutralCharge,ChargeDifference,Doesitbind,BondLength,IonizedFreeEnergy,IonizationEnergy,BindingEnergy,NeutralFreeEnergy,OrthoOrPara,Meta,FartherThanPara,DistanceToN,AverageBondLength,BondLengthRange,NumberOfHydrogens,AromaticSize,IsInRingSize6,IsInRingSize5,NeighborSpinDensity,NeighborChElPGCharge,NeighborChargeDifference,AromaticExtent,RingEdge,NumNitrogens,NumHeteroatoms,ring_nitrogens,atom_plane_deviation,ring_plane_deviation,charge,Doesitbind_pred,Doesitbind_predproba
216,216,1,sf117x0,None,C,-0.5169544082495704,-0.358097,-0.5916823511644396,1.9544796343255721,0,0.0,-362.84983218,-0.7825532914513373,0.0,-362.95653139999996,1,0,0,-0.8114009761927502,0.291614460476995,0.0,3,0,0,0,0.587014377452442,1.1350878751210172,-1.0032515172611343,-1.8254821697134858,0,1,2,0,-0.24376733069755524,-0.33701596875898887,0,0,0.003
217,217,3,sf117x0,sf117x0O2-2_optsp_a0m2.out,C,0.8028223777899753,-0.082177,-0.6133589226458962,-1.9178252416734,1,1.5475038140000001,-362.84983218,-0.7825532914513373,-0.4806877570000001,-362.95653139999996,1,0,0,-0.8114009761927502,-0.20436064938045323,0.025093211802362347,1,0,1,0,0.11121801120502497,0.4884310639727574,-0.012390128068896212,-1.0106220344535863,2,1,2,1,0.22416982487265147,3.1541670804152546,0,1,0.953
218,218,4,sf117x0,None,C,-0.8990886033350882,-0.113216,-0.03983617100085613,0.26039884236020616,0,0.0,-362.84983218,-0.7825532914513373,0.0,-362.95653139999996,0,1,0,-0.3728716832647707,-0.07908197134119782,0.059160115041282164,1,0,1,0,2.000891024718672,-1.0594679628596093,-2.674880265250703,-1.0106220344535863,2,1,2,1,-0.21368059322860228,3.1541670804152546,0,0,0.031
219,219,5,sf117x0,sf117x0O2-4_optsp_a0m2.out,C,2.8100030059913363,-0.188779,-1.2393168260351315,-2.3573711247535045,1,1.5492479590000001,-362.84983218,-0.7825532914513373,-0.664797383,-362.95653139999996,1,0,0,0.06565760966320877,0.09244013263062985,0.012518284118439471,1,0,1,0,-1.3989171782367769,0.9279503551818975,0.2631157222755151,-1.0106220344535863,2,1,2,1,-0.18204219031754765,3.1541670804152546,0,1,0.983
220,220,6,sf117x0,None,C,-1.3735237108855582,0.358312,2.2677716132079913,0.7974162045340828,0,0.0,-362.84983218,-0.7825532914513373,0.0,-362.95653139999996,0,1,0,-0.3728716832647707,-0.14568914704171476,0.04566514349044115,0,0,1,0,2.6505872393823338,-2.963535796766674,-3.100319493679723,-1.0106220344535863,2,1,2,1,-0.243618408357993,3.1541670804152546,0,0,0.152
221,221,7,sf117x0,sf117x0O2-6_optsp_a0m2.out,C,2.0471655875252988,-0.138029,-1.0952704707306193,-2.617892827862054,1,1.5344686140000001,-362.84983218,-0.7825532914513373,-0.695445132,-362.95653139999996,1,0,0,-0.8114009761927502,-0.10190974375936093,0.025046537952216674,1,0,1,0,-0.19055523768324925,1.6507585717810738,0.25992450512990456,-1.0106220344535863,2,1,2,1,1.1447444145290717,3.1541670804152546,0,1,0.979
297,297,1,sf126x0,None,C,-0.3579805743078309,-0.34431300000000004,-0.7454662111553038,1.2950780430942417,0,0.0,-804.62748729,-0.9331092759194696,0.0,-804.73214673,1,0,0,0.06565760966320877,0.7478641849208956,0.0,3,5,0,0,-0.5376080697440547,0.6437334909927259,-0.16460734107457978,-1.8254821697134858,0,2,2,0,-0.24376733069755524,-0.33701596875898887,0,0,0.006
298,298,2,sf126x0,None,C,-0.5282532572324775,0.02471,0.5044017360024995,0.018485832330838135,0,0.0,-804.62748729,-0.9331092759194696,0.0,-804.73214673,0,1,0,-0.3728716832647707,0.2398995255889561,0.10783093507139707,0,5,1,0,0.1489274310606978,-0.26903458777552675,0.7330397487463576,0.4832882135228962,2,2,2,2,-0.24376732858745637,-0.33701122348277124,0,0,0.109
299,299,3,sf126x0,None,C,-0.04251930069910064,0.066858,0.9511108936542501,0.8001750915732503,0,0.0,-804.62748729,-0.9331092759194696,0.0,-804.73214673,1,0,0,0.06565760966320877,0.22627764712283066,0.05948382825042331,0,5,1,0,-0.5721850082272345,-0.7763581512377782,-0.4042869729095962,0.4832882135228962,1,2,2,2,-0.24375377331215953,-0.33701122348277124,0,0,0.026
300,300,4,sf126x0,sf126x0O2-3_optsp_a0m2.out,C,0.6756666205829096,-0.17036099999999998,-0.6956666050156319,-0.9525320499744168,0,1.5500002519999998,-804.62748729,-0.9331092759194696,2.813952095,-804.73214673,0,1,0,-0.3728716832647707,1.4672267049926414e-05,0.0902145526608471,1,5,1,0,-0.5386486046444083,0.09425345208602719,0.48031841985361773,0.4832882135228962,2,2,2,2,-0.2437382429842977,-0.33701122348277124,0,0,0.147
301,301,5,sf126x0,sf126x0O2-4_optsp_a0m2.out,C,-0.8153994210404899,-0.219379,-0.5045059164515282,0.3069550611461507,1,1.5708679380000001,-804.62748729,-0.9331092759194696,-0.14595708300000002,-804.73214673,1,0,0,-0.8114009761927502,-0.3181995227496916,0.0036828909243689094,1,5,1,0,0.4816520612880625,0.5628107537164871,-0.4595834608471494,0.4832882135228962,2,2,2,2,-0.24376730115617073,-0.33701122348277124,0,0,0.408
302,302,7,sf126x0,sf126x0O2-6_optsp_a0m2.out,C,3.2344059037475805,-0.096044,-1.014260218186781,-2.949855910849835,1,1.528232501,-804.62748729,-0.9331092759194696,-0.867366952,-804.73214673,1,0,0,-0.8114009761927502,-0.0155292397582803,0.030129075929496093,1,5,1,0,-0.8456064002487302,1.0531465631629366,0.6194324183626261,0.4832882135228962,2,2,2,2,-0.2437640748149614,-0.33701122348277124,0,1,0.915
303,303,8,sf126x0,sf126x0O2-7_optsp_a0m2.out,C,-1.4880985720617996,-0.0889,0.2571984078856076,0.8313505151158388,0,1.550000042,-804.62748729,-0.9331092759194696,3.507938718,-804.73214673,0,1,0,-0.3728716832647707,0.20452364521040187,0.040382753186869014,0,5,1,0,2.9415817068812307,-0.21657583366346814,-1.6767521285823161,0.4832882135228962,1,2,2,2,-0.2437673180369619,-0.33701122348277124,0,0,0.04
304,304,9,sf126x0,None,C,1.7427635884511279,0.219511,1.3017379136069638,-0.23567663615243195,0,0.0,-804.62748729,-0.9331092759194696,0.0,-804.73214673,1,0,0,0.06565760966320877,0.08856939391271677,0.010185176621915648,0,5,1,0,-1.356987609865384,-1.5619036626473446,0.49029193464363435,0.4832882135228962,2,2,2,2,-0.24375480093032104,-0.33701122348277124,0,1,0.658
305,305,10,sf126x0,None,C,-0.7201523903593647,-0.241019,-0.9626704301270556,-0.7925855738787037,0,0.0,-804.62748729,-0.9331092759194696,0.0,-804.73214673,0,1,0,-0.3728716832647707,0.04999418512185825,0.0003045405898791653,0,5,1,0,1.2019016179757016,1.0879658481025916,0.45103611891269096,0.4832882135228962,1,2,2,2,-0.2437614498519369,-0.33701122348277124,0,0,0.166
306,306,11,sf126x0,None,C,0.34766977583898834,0.130091,0.9230511482558347,-0.15771048842556934,0,0.0,-804.62748729,-0.9331092759194696,0.0,-804.73214673,1,0,0,-0.8114009761927502,-0.032206049918487155,0.028745404423239806,0,5,1,0,-0.7430683930995962,-1.4358269918057305,-0.2569911550200347,0.4832882135228962,1,2,2,2,-0.24376460866998165,-0.33701122348277124,0,0,0.162
307,307,14,sf126x0,None,C,-0.21219628499542206,0.16389,0.9511877448982926,-0.5380920389507342,0,0.0,-804.62748729,-0.9331092759194696,0.0,-804.73214673,1,0,0,-0.8114009761927502,-10.3021115540612,0.0,0,5,1,0,-0.4406534205968183,0.055318866472066894,0.7556397178811749,0.4832882135228962,1,2,2,2,-0.243766218675438,-0.33701122348277124,0,0,0.381
308,308,15,sf126x0,sf126x0O2-14_optsp_a0m2.out,C,-0.26272706864161516,0.168531,1.746607162063104,1.8250464488830476,0,1.550000014,-804.62748729,-0.9331092759194696,3.8292271589999998,-804.73214673,0,1,0,-0.3728716832647707,-10.3021115540612,0.0,0,5,1,0,-0.4406534205968183,0.055318866472066894,0.7556397178811749,0.4832882135228962,1,2,2,2,-0.2437658430778348,-0.33701122348277124,0,0,0.09
309,309,16,sf126x0,None,C,-0.2924407752218792,-0.237904,-0.7052594485367271,-0.05008630502765997,0,0.0,-804.62748729,-0.9331092759194696,0.0,-804.73214673,1,0,0,0.06565760966320877,-10.3021115540612,0.0,1,5,1,0,-0.4406534205968183,0.055318866472066894,0.7556397178811749,0.4832882135228962,2,2,2,2,-0.24376608573920763,-0.33701122348277124,0,0,0.363
310,310,17,sf126x0,None,C,-0.39161812185293265,-0.196892,-0.32530237732818595,0.5435848024955139,0,0.0,-804.62748729,-0.9331092759194696,0.0,-804.73214673,0,0,1,0.5041869025911883,-10.3021115540612,0.0,1,5,1,0,-0.4406534205968183,0.055318866472066894,0.7556397178811749,0.4832882135228962,2,2,2,2,-0.24376732858745637,-0.33701122348277124,0,0,0.097
311,311,18,sf126x0,sf126x0O2-17_optsp_a0m2.out,C,-0.18979283658232254,-0.106651,-0.08826149607058809,0.022072385481755132,0,2.7269842289999997,-804.62748729,-0.9331092759194696,0.399373126,-804.73214673,1,0,0,0.06565760966320877,-10.3021115540612,0.0,1,5,1,0,-0.4406534205968183,0.055318866472066894,0.7556397178811749,0.4832882135228962,2,2,2,2,-0.2437662819784048,-0.33701122348277124,0,0,0.368
312,312,19,sf126x0,sf126x0O2-18_optsp_a0m2.out,C,-0.46903304359484516,-0.28419,-0.6105470712462161,0.8774101342347337,0,2.198468856,-804.62748729,-0.9331092759194696,0.948676141,-804.73214673,0,1,0,-0.3728716832647707,-10.3021115540612,0.0,1,5,1,0,-0.4406534205968183,0.055318866472066894,0.7556397178811749,0.4832882135228962,2,2,2,2,-0.24376585573842816,-0.33701122348277124,0,0,0.126
